num_step,gregaire,peureuse,kamikaze,prevoyante,pers_multi,camouflage,carapace,nageoires,yeux,oreilles
212,62.5,12.5,0,25,0,37.5,50,62.5,0,0
213,62.5,12.5,0,25,0,37.5,50,62.5,0,0
214,62.5,12.5,0,25,0,37.5,50,62.5,0,0
215,62.5,12.5,0,25,0,37.5,50,62.5,0,0
216,62.5,12.5,0,25,0,37.5,50,62.5,0,0
217,62.5,12.5,0,25,0,37.5,50,62.5,0,0
218,62.5,12.5,0,25,0,37.5,50,62.5,0,0
219,62.5,12.5,0,25,0,37.5,50,62.5,0,0
220,62.5,12.5,0,25,0,37.5,50,62.5,0,0
221,62.5,12.5,0,25,0,37.5,50,62.5,0,0
222,62.5,12.5,0,25,0,37.5,50,62.5,0,0
223,62.5,12.5,0,25,0,37.5,50,62.5,0,0
224,62.5,12.5,0,25,0,37.5,50,62.5,0,0
225,62.5,12.5,0,25,0,37.5,50,62.5,0,0
226,62.5,12.5,0,25,0,37.5,50,62.5,0,0
227,62.5,12.5,0,25,0,37.5,50,62.5,0,0
228,62.5,12.5,0,25,0,37.5,50,62.5,0,0
229,62.5,12.5,0,25,0,37.5,50,62.5,0,0
230,62.5,12.5,0,25,0,37.5,50,62.5,0,0
231,62.5,12.5,0,25,0,37.5,50,62.5,0,0
232,62.5,12.5,0,25,0,37.5,50,62.5,0,0
233,62.5,12.5,0,25,0,37.5,50,62.5,0,0
234,62.5,12.5,0,25,0,37.5,50,62.5,0,0
235,62.5,12.5,0,25,0,37.5,50,62.5,0,0
236,62.5,12.5,0,25,0,37.5,50,62.5,0,0
237,62.5,12.5,0,25,0,37.5,50,62.5,0,0
238,62.5,12.5,0,25,0,37.5,50,62.5,0,0
239,62.5,12.5,0,25,0,37.5,50,62.5,0,0
240,62.5,12.5,0,25,0,37.5,50,62.5,0,0
241,62.5,12.5,0,25,0,37.5,50,62.5,0,0
242,62.5,12.5,0,25,0,37.5,50,62.5,0,0
